央视,#genre#
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub
广西卫视,http://314644.me:19999/rtp/239.49.1.40:6000

四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
四川卫视,http://314644.me:19999/rtp/239.49.1.43:6000

河南卫视,http://38.75.136.137:98/gslb/dsdqpub/hawshd.m3u8?auth=testpub
河南卫视,http://314644.me:19999/rtp/239.49.1.44:6000

山西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxwshd.m3u8?auth=testpub
山西卫视,http://314644.me:19999/rtp/239.49.1.51:6000

贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
贵州卫视,http://314644.me:19999/rtp/239.49.1.52:6000

云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub
云南卫视,http://314644.me:19999/rtp/239.49.1.235:6000

甘肃卫视,http://38.75.136.137:98/gslb/dsdqpub/gswshd.m3u8?auth=testpub
甘肃卫视,http://cssbyd.imwork.net:8082/hls/48/index.m3u8

内蒙古卫视,http://38.75.136.137:98/gslb/dsdqpub/nmgws.m3u8?auth=testpub
内蒙古卫视,http://cssbyd.imwork.net:8082/hls/44/index.m3u8

新疆卫视,http://38.75.136.137:98/gslb/dsdqpub/xjws.m3u8?auth=testpub

厦门卫视,http://38.75.136.137:98/gslb/dsdqpub/xmws.m3u8?auth=testpub

三沙卫视,http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub

西藏卫视,http://cssbyd.imwork.net:8082/hls/46/index.m3u8

地方,#genre#
宁波一台,http://w.wbravo.com:83/tv/ningboTV.php?id=nbtv1
宁波二台,http://w.wbravo.com:83/tv/ningboTV.php?id=nbtv2
宁波三台,http://w.wbravo.com:83/tv/ningboTV.php?id=nbtv3
宁波四台,http://w.wbravo.com:83/tv/ningboTV.php?id=nbtv4

浙江钱江频道,http://ali-xwl.cztv.com/live/channel021080Pnew.m3u8
浙江经济生活,http://ali-xwl.cztv.com/live/channel031080Pnew.m3u8
浙江教科影视,http://ali-xwl.cztv.com/live/channel041080Pnew.m3u8
浙江民生休闲,http://ali-xwl.cztv.com/live/channel061080Pnew.m3u8
浙江公共新闻,http://ali-xwl.cztv.com/live/channel071080Pnew.m3u8
浙江少儿,http://ali-xwl.cztv.com/live/channel081080Pnew.m3u8
浙江国际,http://ali-xwl.cztv.com/live/channel10720Pnew.m3u8
浙江数码时代,http://ali-xwl.cztv.com/live/channel121080Pnew.m3u8

港澳台,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
无线新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
TVB 星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
TVB 亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
TVB 娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB 千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as

民视第一台,http://74.91.26.218:82/live/ftvdy.m3u8
